STATION,STATION_NAME,DATE,DLY-CLDD-BASE45,DLY-CLDD-BASE50,DLY-CLDD-BASE55,DLY-CLDD-BASE57,DLY-CLDD-BASE60,DLY-CLDD-NORMAL,DLY-CLDD-BASE70,DLY-CLDD-BASE72,DLY-HTDD-BASE40,DLY-HTDD-BASE45,DLY-HTDD-BASE50,DLY-HTDD-BASE55,DLY-HTDD-BASE57,DLY-HTDD-BASE60,DLY-HTDD-NORMAL,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20100101,-7777,-7777,-7777,-7777,-7777,0,0,0,8,12,17,22,24,27,32,0.04,2,0.4,0.18,3,1.0,0.51,5,2.5,0.12,0.2,0.12,0.2,346,208,89,32,153,10,86,45,104,50,3,23,14,33.4,11.0,38.9,27.9,9.5,5.1,10.1,9.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20100102,-7777,-7777,-7777,-7777,-7777,0,0,0,8,12,17,22,24,27,32,0.04,2,0.4,0.18,3,1.0,0.51,5,2.5,0.24,0.4,0.24,0.4,345,208,89,32,159,10,90,47,106,51,3,24,14,33.3,11.1,38.8,27.7,9.5,5.1,10.2,9.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20100103,-7777,-7777,-7777,-7777,-7777,0,0,0,8,12,17,22,24,27,32,0.04,2,0.4,0.18,3,1.0,0.51,5,2.5,0.36,0.6,0.36,0.6,345,208,89,32,165,10,93,49,108,52,3,24,14,33.1,11.1,38.7,27.6,9.6,5.1,10.2,9.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20100104,-7777,-7777,-7777,-7777,-7777,0,0,0,8,12,17,22,24,27,32,0.05,2,0.4,0.18,3,1.0,0.51,5,2.5,0.48,0.8,0.48,0.8,345,208,89,31,172,10,97,52,110,53,3,24,14,33.0,11.1,38.5,27.4,9.6,5.1,10.2,9.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20100105,-7777,-7777,-7777,-7777,-7777,0,0,0,8,13,17,22,24,27,32,0.05,2,0.4,0.18,3,1.0,0.51,5,2.5,0.60,1.0,0.60,1.0,344,207,89,31,178,10,101,54,111,54,3,25,14,32.9,11.1,38.4,27.3,9.7,5.2,10.3,9.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20100106,-7777,-7777,-7777,-7777,-7777,0,0,0,8,13,17,22,24,27,32,0.05,2,0.4,0.18,3,1.0,0.51,5,2.5,0.73,1.2,0.73,1.2,344,207,88,31,185,10,105,56,113,55,3,25,14,32.8,11.1,38.3,27.2,9.7,5.2,10.3,9.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20100107,-7777,-7777,-7777,-7777,-7777,0,0,0,9,13,17,22,24,27,32,0.05,2,0.4,0.18,3,1.0,0.51,5,2.5,0.85,1.5,0.85,1.5,343,207,88,30,191,11,109,58,115,56,3,26,14,32.7,11.2,38.2,27.1,9.8,5.2,10.4,9.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20100108,1,-7777,-7777,-7777,-7777,0,0,0,9,13,18,22,24,27,32,0.05,2,0.4,0.18,3,1.0,0.51,5,2.5,0.96,1.7,0.96,1.7,343,207,88,30,198,11,112,61,116,57,3,26,14,32.6,11.2,38.2,27.0,9.8,5.2,10.4,9.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20100109,1,-7777,-7777,-7777,-7777,0,0,0,9,13,18,23,25,27,32,0.05,2,0.4,0.18,3,1.0,0.50,5,2.5,1.09,1.9,1.09,1.9,342,206,87,29,204,11,116,63,117,58,3,27,14,32.5,11.2,38.1,26.9,9.9,5.2,10.4,10.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20100110,1,-7777,-7777,-7777,-7777,0,0,0,9,13,18,23,25,28,33,0.05,2,0.4,0.18,3,1.0,0.50,5,2.6,1.21,2.2,1.21,2.2,341,206,87,29,211,11,120,65,118,59,2,27,14,32.4,11.2,38.0,26.8,9.9,5.2,10.4,10.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20100111,1,-7777,-7777,-7777,-7777,0,0,0,9,13,18,23,25,28,33,0.05,2,0.4,0.18,3,1.0,0.50,5,2.6,1.33,2.4,1.33,2.4,340,206,86,29,218,11,124,67,119,60,2,27,14,32.4,11.2,38.0,26.8,9.9,5.2,10.4,10.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20100112,1,-7777,-7777,-7777,-7777,0,0,0,9,13,18,23,25,28,33,0.05,2,0.4,0.18,3,1.0,0.50,5,2.6,1.46,2.6,1.46,2.6,339,206,86,28,224,12,128,69,120,61,2,27,14,32.3,11.3,38.0,26.7,9.9,5.2,10.4,10.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20100113,1,-7777,-7777,-7777,-7777,0,0,0,9,13,18,23,25,28,33,0.05,2,0.4,0.18,3,1.0,0.50,5,2.6,1.58,2.8,1.58,2.8,338,206,85,28,231,12,132,72,121,61,2,28,14,32.3,11.3,37.9,26.7,9.9,5.2,10.4,10.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20100114,-7777,-7777,-7777,-7777,-7777,0,0,0,9,13,18,23,25,28,33,0.05,2,0.4,0.18,3,1.0,0.50,5,2.6,1.70,3.0,1.70,3.0,337,206,85,28,238,12,136,74,122,62,2,28,14,32.3,11.3,37.9,26.6,9.9,5.2,10.4,10.0
